"protein","species","quant","Intensity.03_1x_dda","Intensity.04_2x_dda","Intensity.08_2x_dda","Intensity.11_1x_dda","Intensity.15_1x_dda","Intensity.16_2x_dda","Intensity.19_1x_dda","Intensity.20_2x_dda","Intensity.23_1x_dda","Intensity.24_2x_dda","Intensity.28_2x_dda","Intensity.31_1x_dda","Intensity.35_1x_dda","Intensity.36_2x_dda","Intensity.39_1x_dda","Intensity.40_2x_dda"
"sp|P11216|PYGB_HUMAN","human","dda",11525590,19849920.8319797,20260019.8257719,19106240.8698883,25149223.8301751,16818653.4153412,15209409.950777,13908876.7689722,12038423.1104841,20210702.5791269,16459991.945008,11339276.6593502,9639479.24734601,26167750.853542,19052580.7084562,13683319.1950118
"sp|P11233|RALA_HUMAN","human","dda",6666700,15560981.6803945,16469416.2744708,12948920.5135318,12372705.7833078,17947585.9968129,7796023.14399899,14001974.421834,13672110.6234248,17612623.597564,25085306.0335946,11086796.2023993,18363400.4462194,12479760.050127,18810515.0469243,17887855.3920413
"sp|P11279|LAMP1_HUMAN","human","dda",19338600,10318932.8102496,20823098.5909868,10527344.7654958,19471886.1595153,14351743.0089433,9093519.61668714,11783738.3116564,19501269.7232533,18940909.1422898,3862404.96005126,14800575.2626867,18156585.173942,604250.246984018,15720990.2186692,12914519.0869493
"sp|P11387|TOP1_HUMAN","human","dda",148623500,117923076.918812,180676198.500143,152765282.749365,158328709.335289,170969439.762443,138452701.671816,139732834.637622,171168990.861544,148780761.164104,147390167.168238,132140516.740894,148245942.192129,184078935.091379,143422498.574945,153333390.48213
"sp|P11388|TOP2A_HUMAN","human","dda",10026900,4287520.02132051,8505688.02186151,5127443.33838755,8288518.99288565,7789693.65669869,6556544.23797021,7586189.27121206,4952605.78286835,10518656.2621946,2826545.28187716,8218750.84303948,7964683.6628113,8314341.47340387,2289382.31972464,5324186.96830473
"sp|P11413|G6PD_HUMAN","human","dda",732118670,770582493.877697,736236442.931045,1013237609.9107,736500878.911665,1117296322.93517,783640420.92021,694288364.925047,784528793.854756,833903117.263315,747024365.554918,719810978.189705,1304761985.06062,853969964.434273,739295808.347605,1173184593.34703
"sp|P11498|PYC_HUMAN","human","dda",10991380,17741093.2586049,26653079.7251259,11435338.8173712,19738654.4073861,12973736.1827896,28722526.0537997,23910544.0802374,15712523.1176773,20082083.188272,10003367.0535036,23311888.0589397,20712238.3263862,30444593.0803623,10731668.7832717,27587079.4895362
"sp|P11586|C1TC_HUMAN","human","dda",256659790,299309681.108702,266981928.571142,242113198.227617,266625928.562845,311896459.458229,266793570.581049,265287503.720244,264024455.755198,268324104.802528,228281989.01399,244969410.627867,253017232.734896,231032809.369111,233267218.12177,262828491.226039
"sp|P11717|MPRI_HUMAN","human","dda",1426300,NA,2812087.71019053,1208146.41116198,5205501.90175337,3222312.532095,3758280.10723796,NA,2429744.28210017,NA,1267993.47272306,2151024.59966173,3991932.67284328,NA,1475591.03347285,2674941.96919269
"sp|P11766|ADHX_HUMAN","human","dda",54421200,30701682.4746987,35048063.6373786,38398276.3671505,37509347.1580412,24804887.8498411,40981651.8690604,30710960.2416713,45469519.6773937,41143483.9054885,26036753.4228418,36639009.1158936,45202860.0582862,47965806.4385162,35408424.5895748,29769069.6223211
"sp|P11802|CDK4_HUMAN","human","dda",NA,NA,NA,2430028.42917519,1840799.34877627,NA,NA,NA,3115820.91941602,NA,NA,1646779.59497641,NA,NA,NA,NA
"sp|P11908|PRPS2_HUMAN","human","dda",21461000,29084518.0397296,57477273.3246492,29384020.2247488,16233159.6047521,28258047.5290361,23075892.9829599,25834976.978187,30993398.0804813,61069838.9444769,22018358.1285633,17949596.1497834,19275173.173231,25920834.3849841,19657412.9177633,23609997.3101489
"sp|P11940|PABP1_HUMAN","human","dda",303832220,280392052.445937,352034274.687973,240641962.115997,281293891.288165,273273475.060128,326426122.614028,310042926.693084,313188459.414077,329613038.346501,295559551.710092,271654267.280635,320353642.805511,304262579.763756,254672660.658351,259871482.523188
"sp|P12004|PCNA_HUMAN","human","dda",112370500,104277255.196204,131642922.255721,68935617.9740055,99416984.0803664,79746891.3491764,95588610.4369123,89242498.7288327,98188713.2915626,100023096.556555,88267201.9238324,105411132.418834,80719582.4459347,99795336.8778872,105870610.572529,113311762.165135
"sp|P12081|SYHC_HUMAN","human","dda",44400500,38326123.5677099,66359295.3367925,51402397.5844553,47764086.2039959,37338305.0191302,63701051.3701374,61639994.6313681,64049692.5394493,39183169.54398,53691621.8899769,35110448.740211,42468654.0067372,51609069.30673,58544469.6575401,29843908.2084922
"sp|P12235|ADT1_HUMAN","human","dda",4674600,2588821.09444994,1934786.24534691,3989900.29440785,2887086.6791636,4887289.48942885,4839923.27168017,4585038.38627284,3746430.23855035,2592670.31535997,4336718.59059483,5106976.07491399,5710019.6831438,5616623.43478543,6118811.48874183,4291189.24673575
"sp|P12236|ADT3_HUMAN","human","dda",32372800,35585673.8626679,23576266.5931077,27863676.3836769,19262641.3137542,23281696.8218821,24184098.4068366,21334780.7006988,32334158.7620313,17882620.7249543,17767658.767847,30450633.3298293,22539089.5597985,19723542.2634261,20187401.4003098,18110937.8534188
"sp|P12268|IMDH2_HUMAN","human","dda",60764700,64033875.7244701,77685812.2030898,49495566.6381277,60694849.7577927,53822456.6226718,51825764.1838405,64748181.7558085,31706731.1246282,76743095.8575,60558474.3298366,49885684.584579,70597469.6107969,64262583.8533027,49676766.9991237,59119002.210737
"sp|P12270|TPR_HUMAN","human","dda",16656700,11262654.4362888,17854678.8297259,18225624.113036,18182152.9259476,14699970.3106896,16542360.0497419,19869127.3866369,15378446.5358957,20095561.2355036,17503407.4382525,16205688.3978238,18975816.4841033,27047613.8275727,11099248.526624,14345154.3853839
"sp|P12532|KCRU_HUMAN","human","dda",160986800,157715806.11679,174371187.551305,147446104.427136,152356497.972156,144510093.417553,118317810.013707,126509907.83141,192438292.487719,143782379.368162,159625532.635519,137891716.912023,153908007.668085,135391873.198635,171744288.36799,132320148.782407
"sp|P12694|ODBA_HUMAN","human","dda",1477810,2560591.31856865,1631450.11302077,NA,NA,NA,227386.920895084,86752.149125082,NA,NA,NA,397367.294557173,NA,NA,504829.040352085,1697842.83592665
"sp|P12814|ACTN1_HUMAN","human","dda",39827000,33325545.1703005,36940413.5238473,36117602.1177713,32023800.4355738,29656179.1893239,27650473.2630269,20837598.5451773,41867431.7333845,36099063.0194077,47597665.4798567,41039128.4580113,39642855.4194589,45292396.1850167,39012170.5355553,28044608.4110121
"sp|P12830|CADH1_HUMAN","human","dda",25559500,13879967.2998997,38163912.5519375,25922025.0869897,26799872.8718898,28490762.9904161,34268250.4990617,33212844.0679005,32885756.3181728,26437036.9808156,15619923.6550937,27449654.9328061,32006780.5121601,23730021.3318169,20505970.511215,23829486.2908497
"sp|P12956|XRCC6_HUMAN","human","dda",446192390,414106577.800134,390771703.885273,445622367.741352,318459713.434046,417758750.791143,416566687.819714,357581073.314393,507937140.696551,388778099.899171,394511091.181142,352271014.37101,373214738.73663,402455496.195872,424809517.43897,385142460.996311
"sp|P13010|XRCC5_HUMAN","human","dda",287557410,220365396.682732,300796503.987439,257599531.440296,292320211.237626,351456454.956724,312915327.213672,201158122.912164,325114229.780063,233706394.762304,292645795.295114,260789459.454482,290606168.648395,275138751.173423,296341002.447973,260920492.221334
"sp|P13073|COX41_HUMAN","human","dda",83532600,70726941.6247452,59637843.6697369,69672163.4767739,64617117.8889197,82324400.0764958,55690992.3356433,48342683.8597846,85130561.186212,74670344.4854696,71185781.436263,74328897.6026576,76338710.5437271,80017120.2535661,50834374.7061429,67307060.186429
"sp|P13284|GILT_HUMAN","human","dda",10832900,11259488.6841598,8071291.55212857,7194945.66536974,3428687.55707895,6066504.73396371,4728068.19918822,3400241.70818771,6202370.36690451,7564804.81382084,6258662.53666101,6486721.53215792,7288641.57470926,3724050.20185502,3642602.98126717,5314563.40182034
"sp|P13473|LAMP2_HUMAN","human","dda",26564400,28080876.3673592,31072884.3593152,30599879.7074503,28288944.0028517,32644893.5918751,37620547.4410495,25737121.0382095,31168814.799931,24955324.1508563,20559372.8064491,19640592.5587331,33168088.5679378,16518504.2536949,16094427.8065369,30913762.1421291
"sp|P13489|RINI_HUMAN","human","dda",48006390,67347195.5682199,50171323.9844753,55141581.9644061,63601725.0930573,74922639.0777774,51254535.8046352,77775463.9370073,76417557.5819931,63216337.9163676,60491919.3052591,59585868.2531713,75187757.5357952,65400972.5197701,57180441.2728664,58241312.4716874
"sp|P13639|EF2_HUMAN","human","dda",2158336260,1729433762.41153,1822478964.72345,1890211578.16755,1895089930.63928,2103051845.87248,1985008272.43714,1460300459.63517,2097079476.1364,1670310894.06593,2010370724.67589,1907922647.64481,1776422997.25422,1407820182.08689,1774251771.63821,1769354145.65069
