"protein","species","quant","Intensity.03_1x_dda","Intensity.04_2x_dda","Intensity.08_2x_dda","Intensity.11_1x_dda","Intensity.15_1x_dda","Intensity.16_2x_dda","Intensity.19_1x_dda","Intensity.20_2x_dda","Intensity.23_1x_dda","Intensity.24_2x_dda","Intensity.28_2x_dda","Intensity.31_1x_dda","Intensity.35_1x_dda","Intensity.36_2x_dda","Intensity.39_1x_dda","Intensity.40_2x_dda"
"REV__sp|O14717|TRDMT_HUMAN","human","dda",872650,2504328.2617658,1964423.21273261,2146746.21266233,1024466.80334747,1417579.78216302,1121458.59332074,1100122.70665441,2157392.32590492,2033702.11059318,1406552.22232318,1833010.18983217,2546776.52260297,2051274.12450732,914253.319693871,1224752.40268877
"REV__sp|O75976|CBPD_HUMAN","human","dda",30941000,NA,NA,NA,NA,NA,NA,NA,NA,17952191.8749038,NA,20684124.4402769,NA,NA,NA,NA
"REV__sp|O95613|PCNT_HUMAN","human","dda",14926000,75645101.3029342,42054974.7958751,44619590.5636318,14513363.8495318,16775108.4525949,14598058.5796893,10014597.0737812,59128373.2936049,28760800.6256811,60745560.5677759,15571967.4434018,14633175.3083497,17968879.1404344,41753739.3995854,81309922.7400693
"REV__sp|P0CAP1|MYZAP_HUMAN","human","dda",14595000,18832950.2515076,31672590.1654983,23747338.0672283,6927670.2764552,NA,12890804.304884,12268814.5776962,NA,31485852.4081863,37715223.3934581,21338804.5789959,4555343.59219,23077352.6327842,NA,13530324.9635834
"REV__sp|P11274|BCR_HUMAN","human","dda",3688900,10787136.6337409,12053153.9072997,7865219.80003967,8767838.60941192,15848306.8806283,5364737.59755792,23482062.8475249,NA,9709319.15416119,27770280.8818366,2008125.35211687,3392505.08299141,21560580.040214,5619039.72082152,19291155.6665255
"REV__sp|P20839|IMDH1_HUMAN","human","dda",9660900,8845111.448404,3900390.21375226,5796543.48956592,2950377.56586395,5317193.01859677,3004610.94612797,7382406.7982692,2264615.00024814,7415324.98255,7085758.23703899,3291298.42400617,3604421.86667181,17779023.2003247,5378575.20345725,13204761.7569838
"REV__sp|P26842|CD27_HUMAN","human","dda",9722700,NA,NA,NA,NA,26691885.2726372,NA,21397159.6590006,NA,4496062.82690978,NA,NA,NA,NA,NA,22194606.150539
"REV__sp|P49366|DHYS_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,264480.057705547,740822.774304938,NA,1414852.97690752,NA,NA,1252322.9798163,997883.813227869,1134352.30475563
"REV__sp|Q08495|DEMA_HUMAN","human","dda",12222000,14086505.3353498,NA,12376133.9680008,4614997.29782329,7949309.48298182,7505655.70797127,NA,8089743.96988376,4706084.82503324,5237988.98257902,6355766.6646979,13237401.7884904,10496024.8420193,10504091.5238417,8600192.32930431
"REV__sp|Q14562|DHX8_HUMAN","human","dda",14137000,46941554.2409622,NA,NA,NA,NA,NA,NA,NA,57981774.061373,NA,NA,NA,59194592.2122265,NA,NA
"REV__sp|Q6ZS81|WDFY4_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5896360.18462125,7943359.34514678,NA,4421305.77887068,NA
"REV__sp|Q7Z340|ZN551_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44422997.1621403
"REV__sp|Q7Z745|MRO2B_HUMAN","human","dda",NA,NA,NA,6245122.5816901,NA,786604.445286546,NA,2429080.35198476,104720811.941883,NA,170644358.666507,49071808.8437829,48110313.4370809,46544791.7873238,NA,115421370.792554
"REV__sp|Q86VQ6|TRXR3_HUMAN","human","dda",NA,NA,NA,3215188.58832895,NA,NA,NA,NA,NA,4427364.04247688,12218072.2285635,NA,NA,NA,NA,10171085.9903305
"REV__sp|Q8IUR7|ARMC8_HUMAN","human","dda",48381000,19342745.5081419,20343239.4855864,21453374.3247246,25982707.3855792,16594161.4790205,25347385.5686982,18690148.2609972,36656155.2257653,24249580.4479202,22203454.313801,38592216.6952229,29030660.7898811,45461679.2109604,25671027.2820796,27360618.5420525
"REV__sp|Q8NB25|F184A_HUMAN","human","dda",NA,1636257.19522286,16190994.0868394,NA,7548716.04605125,6672677.09543803,5847611.51380238,NA,7428272.33795627,4285059.41758014,5119862.85964805,5069296.64246973,4932651.37555548,7426272.1579182,NA,8625684.54265126
"REV__sp|Q8TBZ3|WDR20_HUMAN","human","dda",73534000,29175134.9653254,82813479.8630849,37566297.7463534,91203240.4620968,34603534.2472978,112605805.824386,76710986.3493825,132375989.549933,106460216.276194,123542897.396912,72403855.3990803,64658596.1261148,105904340.799973,72821794.0953463,94967196.8785531
"REV__sp|Q8WZ42|TITIN_HUMAN","human","dda",37290940,9920921.35292873,16271757.7748546,15375485.6914069,20648352.0534747,5591408.59481037,2181041.10229585,3310893.51831821,13888358.9250923,10179087.9848548,29101913.4730396,10893123.9196358,26665416.4490423,22498343.8886574,16017592.412641,11303697.8628496
"REV__sp|Q969S9|RRF2M_HUMAN","human","dda",15227000,19651679.2503849,20884025.5837,22501741.5826856,20013297.7326848,17731332.2966874,NA,15004073.051157,20201557.8723021,20663067.7177642,10476084.3850886,22274196.4894247,17467575.0438535,19459715.1291644,22843640.9958964,17415583.9857383
"REV__sp|Q9BV20|MTNA_HUMAN","human","dda",40302000,72224997.3649576,66976004.024663,34592597.5622379,47030871.0623175,44841013.8335126,63148276.7711709,47599684.8928419,63415159.1461797,60192130.1890794,69328327.9681213,47544849.8439793,90328381.2037031,64823872.7096859,51867307.9557223,54177607.9561039
"REV__sp|Q9HCS2|CP4FC_HUMAN","human","dda",17760000,19806691.940839,21408281.1023952,17635580.0101791,21536569.9210661,24402832.5012404,17735201.2202584,24381597.6909608,9752172.67446343,11847814.172437,19766437.9037836,24028174.0697051,26035053.2940427,13157120.3960155,18919861.4778817,24322028.6137901
"REV__sp|Q9NNW5|WDR6_HUMAN","human","dda",NA,58028236.5244256,41286302.8529233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q9NUQ3|TXLNG_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36078464.3714144,NA
"REV__sp|Q9UHN6|TMEM2_HUMAN","human","dda",23549000,43479968.0337091,50994475.9941672,16766832.2264264,12151850.2464671,38062122.3357,12110992.288436,67744221.2651887,8958873.36280436,67873308.5628158,70315904.9237965,18460095.9402544,14026095.4513934,77016151.442849,14426894.7344372,68720454.9678852
"REV__sp|Q9UHR4|BI2L1_HUMAN","human","dda",NA,NA,NA,NA,NA,NA,NA,NA,2953661.20717983,NA,NA,NA,NA,NA,NA,NA
"REV__sp|Q9UJA3|MCM8_HUMAN","human","dda",5962800,8149846.78255742,16626220.6278102,NA,19768463.5947014,20467603.6043982,22187874.709658,10447887.0348156,11544201.8815628,3770145.67140207,6352312.07556124,12931581.2148703,18162400.8969414,12929915.7463761,NA,4107727.21333123
"REV__sp|Q9Y5F3|PCDB1_HUMAN","human","dda",426000000,NA,224591536.511312,NA,NA,NA,NA,348498293.455999,140121263.44438,NA,276159719.825123,285939792.961383,NA,NA,344763438.964052,143831367.594872
"sp|A0AV96|RBM47_HUMAN","human","dda",857700,2855421.08925768,3774521.65903849,2990711.20490821,5988643.0150741,4261080.56063677,3244649.89059576,2652585.33654165,4194453.44873385,5051541.56961014,4577227.63367953,4430912.85828284,4331285.21137048,4083894.64353283,4030890.20498193,2951250.9434982
"sp|A0AVT1|UBA6_HUMAN","human","dda",4007140,5358330.22075877,2296593.39858699,4209834.36171626,4066669.79127159,723920.294522267,3356085.55899138,1997959.36281579,5728904.30847676,4883131.4066289,2845679.58539336,4208331.03097648,NA,3374808.64382705,2940618.42066928,333446.34084739
"sp|A0MZ66|SHOT1_HUMAN","human","dda",NA,229396.94909876,NA,692720.69902851,962968.001574629,292795.741061121,764210.184064486,514802.950211598,291601.130669333,404646.744878776,375215.391198235,418948.189489624,1129066.50371077,293218.493733312,NA,867922.842851653
"sp|A1L0T0|ILVBL_HUMAN","human","dda",2125900,2629539.21666077,3580641.57757507,2320847.96446033,4985782.19338785,7183741.96226531,5346004.21458839,1836732.45414837,3995555.91810746,1894668.85638373,4207418.37495417,1729862.74351601,6745728.52817976,2294351.97569692,2790091.34276744,3358727.08141858
"sp|A3KMH1|VWA8_HUMAN","human","dda",1780140,NA,1523883.27123442,1504694.64112945,2937504.84314523,2481033.09701844,1608973.91489795,994482.007190717,1469618.79166574,NA,827947.059822527,NA,1431718.76920482,2087772.11343114,1328266.24390619,1926760.86421488
"sp|A4D1F6|LRRD1_HUMAN","human","dda",NA,5496400.67912943,NA,NA,3964293.78470863,NA,5347122.62551194,NA,10271847.3572347,NA,7837402.20664394,3149152.7651102,10981513.4460862,NA,5643740.29852885,5865666.15060189
"sp|A5YKK6|CNOT1_HUMAN","human","dda",4128300,7099799.55053068,3494080.37920672,2967924.18533708,5517072.27281184,7308448.26267103,12522623.42885,5935416.73049174,3685660.11748342,2875360.3610169,4461197.98338075,9972709.58360359,5356301.28850577,1814649.30035315,9853968.41335505,5593442.07313391
"sp|A6NDG6|PGP_HUMAN","human","dda",24217400,5466784.52214338,10030637.5154684,25546878.6622624,14838210.7934335,24284937.4568318,1732278.71921979,5951356.15164272,11327423.2996068,19767420.9464314,13958676.6129411,14113952.3851131,13215628.5378224,9504364.73079621,12565955.1625815,13621625.9911448
"sp|A6NFQ7|DPRX_HUMAN","human","dda",6379300,NA,NA,NA,7272204.9139267,1075222.22370579,NA,683142.068949547,7088150.56088533,8307100.63190287,9277476.70709618,6237641.64398514,3370466.55373048,2774905.37164664,3753023.35038572,4971800.62958913
"sp|A6NHL2|TBAL3_HUMAN","human","dda",NA,NA,4754548.86741023,NA,NA,NA,NA,NA,6115404.3995836,3610066.59910444,5220429.69403523,5429983.00954241,5611356.45260988,NA,5469859.94715826,4580715.26820226
"sp|A6NHQ2|FBLL1_HUMAN","human","dda",347890,NA,433384.562121403,NA,NA,384519.674413685,NA,NA,16575501.2592508,NA,NA,NA,NA,NA,NA,NA
"sp|A6NHR9|SMHD1_HUMAN","human","dda",825050,587803.755647276,680268.76573399,523596.637234714,704011.72954981,949618.544000221,833747.383236459,NA,NA,845801.986627611,926970.805216468,516189.38477015,683204.610111843,752348.254911097,580570.969938445,756309.947306113
"sp|B1ANS9|WDR64_HUMAN","human","dda",5260400,8621216.35817769,8052163.31023023,5838337.30186538,6920729.10244021,12816783.0721339,9727379.0076114,6226126.21540776,4198865.38073452,NA,NA,5142206.34424937,5828782.86860551,11672509.1922071,4602020.28217611,10770204.1931672
"sp|E9PAV3|NACAM_HUMAN","human","dda",86064800,68261912.3549255,73982372.0355501,73008624.5597807,76462710.9175289,84476786.3938676,99898980.1164262,128635332.122227,75212835.0056657,80542672.9605186,80010973.4384433,84348706.4768165,85911288.5705342,73908323.8243106,86091276.3842482,68553987.7433786
"sp|E9PRG8|CK098_HUMAN","human","dda",3395300,1638222.14482017,5998474.9686387,4149679.44760884,1810510.58943811,3212912.11615077,4519638.34344738,3516592.75709568,3382339.79243731,3922482.4997398,3514518.207023,3394634.26748456,4807052.16481376,3319262.81304305,2933315.6411732,3373674.32297944
"sp|H7BZ55|CRCC2_HUMAN","human","dda",3914400,3556012.95179029,2354662.9625722,NA,3444589.15573148,NA,NA,NA,9886333.5874646,NA,3820262.66754615,2574353.023173,NA,2423308.76998999,4082234.21216093,NA
"sp|I3L3R5|CCER2_HUMAN","human","dda",3745900,10838225.3232708,20468399.5868966,NA,6926155.83848829,10546266.3321764,10335514.9472939,20823811.2821564,8148392.96979653,11711507.0604669,11595515.6347381,9363433.1609799,6751952.37209142,9596232.18159791,10592935.4989946,NA
"sp|L0R6Q1|S35U4_HUMAN","human","dda",1772400,1717911.76737755,3283917.67701625,2027586.88826923,3030895.18443787,NA,2589960.0962203,2918528.18922624,2450849.43758415,NA,2560782.78926857,2173067.06764163,3894595.83527414,2101694.88237251,NA,1534139.82732519
"sp|O00115|DNS2A_HUMAN","human","dda",3928300,2261220.33103251,1477007.27102676,3883537.39007272,2137250.58079844,1295992.24260265,NA,2656402.05447548,2459652.09037395,3755097.36624058,2131495.43134851,4557704.14845778,6200887.11033994,3940703.8410523,1301905.94358611,NA
"sp|O00139|KIF2A_HUMAN","human","dda",937710,NA,2186889.389033,3254751.83199444,NA,1452533.44144862,1979167.93059435,863587.07716925,NA,NA,NA,545146.028603564,1115292.42292268,2617138.19780796,5310917.09930238,NA
"sp|O00148|DX39A_HUMAN","human","dda",27020400,14322517.6147595,25062483.7583818,28756349.9509875,27925100.2813022,16205905.1760468,19087499.8282007,16165061.479928,30424089.1627024,11910624.4896328,20774873.1658502,25948845.4591188,6994478.22418978,18878838.9495611,29426881.9239812,31142659.694744
"sp|O00151|PDLI1_HUMAN","human","dda",13692600,16433419.3015981,9432702.84279438,20811205.3548426,19565024.0944801,14534308.2074846,22726808.9734456,19093005.3609734,6158675.27112864,17332267.129664,13711356.6943,13630723.0838735,20765192.0147492,15963149.6922703,20076883.4004493,15614543.7560216
"sp|O00159|MYO1C_HUMAN","human","dda",28952500,33941884.3606554,31935603.4916005,32604421.2997802,32518983.7898035,28432771.6920559,42070984.108602,27636232.4506596,34974742.4868558,31810602.4667696,21782350.6485417,31834316.2877637,24684091.4503472,43867096.8068699,31781012.9517513,45350340.4091147
"sp|O00161|SNP23_HUMAN","human","dda",2764100,3404275.1773317,2419840.67570729,4956323.50465811,3264244.83450556,1215080.99425636,3083319.11487309,NA,2849408.10245244,NA,NA,2372108.66952843,3340265.60622475,NA,1663042.05797119,2648528.35054405
"sp|O00170|AIP_HUMAN","human","dda",7904800,6833221.38849624,6263672.69273544,6321196.71194304,6002601.08500244,7875018.24586387,6016910.96735537,4882876.89499478,1615657.98313025,7596449.87293581,5631423.46589058,11850275.7023011,5833782.34978045,8311021.58811234,9539402.16286878,11035876.0551564
"sp|O00186|STXB3_HUMAN","human","dda",1821600,3323275.58837611,2944686.5722389,3827420.97917627,2304343.56981392,3898303.94532414,3905071.54095443,3302722.04291803,4202153.11852349,3716495.19213066,4115258.71508189,1654598.0772086,3588301.09063834,4183781.6922419,2572374.78827198,4632313.96509728
"sp|O00193|SMAP_HUMAN","human","dda",1708600,1596630.7116772,1836193.14667337,3028760.0098696,4028404.99197439,NA,NA,NA,5831068.10886729,1724339.48926595,2520023.95586085,3027824.99263968,1980508.75687057,3412634.58686748,2330055.28681111,2254985.90835266
"sp|O00194|RB27B_HUMAN","human","dda",1359400,2341674.10065552,3741342.42463458,NA,1881562.97071886,1058686.90677102,2335102.20701542,1760229.95811784,1754803.53084371,6519950.82544112,NA,3779435.47132157,1454746.99167794,949964.42688973,1732652.77696458,2179225.91687981
"sp|O00203|AP3B1_HUMAN","human","dda",2184000,9872343.43232868,7835966.94655208,10466415.022284,8360290.73220068,7728053.99659488,11994831.3338883,15561229.8008193,13173541.0961374,7049465.78945342,5962719.35174321,3395105.26039011,8632930.64148956,6983461.70787662,6840595.56380235,7795907.87928985
"sp|O00204|ST2B1_HUMAN","human","dda",1020900,NA,771682.869917291,NA,3079104.7930511,2582981.26993476,3000039.44147794,735769.060724395,NA,NA,NA,NA,NA,551090.58375331,970508.153191757,NA
"sp|O00217|NDUS8_HUMAN","human","dda",2565400,1373390.60465,NA,1656138.51154038,1184820.54341021,2610196.87165124,2408917.32796999,1266427.36341001,1824376.30470044,2334559.16813348,NA,1671553.82180852,1359858.87958224,1203458.41818152,2579404.20169066,1034533.39707181
"sp|O00231|PSD11_HUMAN","human","dda",74625900,74281535.4462708,93986711.0279475,67417187.7260248,74532648.0709198,78297770.8912944,118536039.945166,60915221.7535896,98477185.7685296,67434835.8450305,107539681.077889,79799612.0786722,67219656.8806462,63368621.7414245,95748323.591138,69200916.6435366
"sp|O00232|PSD12_HUMAN","human","dda",52668350,45762115.0779529,35720279.6494245,56504283.3022317,40240585.5500936,39462725.4668464,38931990.4979544,51497360.962582,40845613.4341811,48493065.2417931,42477025.7547155,46877368.1180873,46954086.4866606,44168386.7717182,53852336.2005661,43325603.4478194
"sp|O00233|PSMD9_HUMAN","human","dda",8456600,14484953.4481367,17518281.5385631,3924979.00732471,17697343.4717912,16654182.9141573,8022221.7532878,18635503.6209754,13700851.8150638,10154301.8996141,16122193.8013976,14718622.4971205,17808356.0055736,16861178.6636306,16107900.8489228,14894516.7019289
"sp|O00244|ATOX1_HUMAN","human","dda",1980200,843127.123043816,1395062.82733881,NA,1756495.63528507,2356429.77456516,3160489.46859832,3812682.63733692,1717259.68641493,2317220.90349089,NA,1978735.39481035,3545448.39485319,2019320.2285763,1924399.55410767,NA
"sp|O00255|MEN1_HUMAN","human","dda",814740,NA,NA,NA,NA,NA,NA,NA,1285293.36336849,NA,NA,496511.301176134,NA,NA,674921.318935941,NA
"sp|O00264|PGRC1_HUMAN","human","dda",42149000,31252741.6728763,46703137.5771717,30930708.2553712,46407301.2294433,39116469.4573325,44640673.0068329,36054197.2116806,45681101.512522,29501984.1777294,31337476.954491,42991290.4330904,41851779.2478871,32480616.4818116,35812127.7074397,41026594.841719
"sp|O00299|CLIC1_HUMAN","human","dda",230201900,211085474.637604,178177920.225095,187684153.803577,234906366.094506,156506921.898946,190198219.871892,218881476.344039,215824077.436659,184227676.437002,167794965.025537,141180688.631076,209275425.136381,192487571.681704,184578044.655675,179723892.095536
"sp|O00303|EIF3F_HUMAN","human","dda",28923000,19196727.9202888,43409419.6280717,26261928.5273003,16243909.5902539,11169856.6787493,38421637.2253182,14402477.5988553,38460009.6832992,38341773.0032112,13043252.3701913,29827227.120039,21087301.4447343,13609039.7813257,20170023.1282469,15087899.1990817
"sp|O00401|WASL_HUMAN","human","dda",NA,NA,NA,NA,497480.251812777,323939.21610641,NA,NA,NA,574529.024669292,NA,540228.862669588,562604.880545051,411281.914413533,730805.155614508,657760.531371296
"sp|O00410|IPO5_HUMAN","human","dda",70480050,37382194.5303243,44559936.14803,56332130.3630296,67687640.866825,40515013.02943,22325662.9354399,32914702.9119415,56483759.4385874,41660414.9969237,37863998.4563928,25538271.5234899,60456307.7320805,41691586.3499684,34535605.7567544,45077839.9100562
"sp|O00422|SAP18_HUMAN","human","dda",7822510,380567.07145146,323928.511258679,8518612.052101,5813977.83622409,NA,5523551.94870259,6705485.81141444,106840.872535474,7414419.90332652,6073736.62331222,7628295.29692169,8032023.61333082,11285981.1724986,810003.213465056,NA
"sp|O00429|DNM1L_HUMAN","human","dda",3693640,8147849.08380016,6550761.62700472,8390084.33944527,4406686.35547514,5506113.42791732,5600987.92502217,2813425.52929507,8401135.16092149,5996019.00073511,4140863.35037666,3436675.09423424,8037165.93682504,6464024.15544979,2469960.13999138,6080097.63998011
"sp|O00442|RTCA_HUMAN","human","dda",1439700,1329397.56644366,NA,NA,NA,NA,1386801.58493394,NA,NA,NA,1389631.4533628,532758.915187513,NA,2556830.40655892,NA,NA
"sp|O00483|NDUA4_HUMAN","human","dda",16136700,11818080.1891272,6837165.72298382,14298074.0818648,13373888.1029141,10412100.7712822,11057309.3970826,14141024.0135202,10090385.4424956,12498238.9970512,9922796.52407019,13792028.7341674,8876160.50216154,14272674.4764621,10825199.0340371,11240376.8429497
"sp|O00487|PSDE_HUMAN","human","dda",47775600,31297389.6942818,52377778.4950056,39821989.6270323,34064000.7833263,22742680.7965352,34120061.0516908,34936420.0828653,23345186.6900493,24652209.8475418,19224015.5176762,22404821.6618509,26956069.9597165,35917320.2370427,38125976.291091,31543184.3415549
"sp|O00505|IMA4_HUMAN","human","dda",4938720,4293622.28145881,885861.943470963,2071212.11481551,3346239.03009722,2008202.4728188,5184086.27313085,1357557.809231,5969683.37629221,1140421.63072416,3984617.60831607,3359846.73148039,855258.183689239,4154255.46243031,1884663.8421437,1319759.5271304
"sp|O00515|LAD1_HUMAN","human","dda",3525080,2927720.31805187,2426547.36792843,4975306.8177166,6963360.53120866,NA,NA,4811586.65693556,5396482.20119545,500148.959809474,143911.672107713,3600043.69345445,4830213.02658335,3273635.13956752,3798968.3775362,4722570.73331683
"sp|O00541|PESC_HUMAN","human","dda",27140500,26897976.7097814,17145139.1308647,31377796.3884611,26365569.9239298,21543723.2074038,32140026.3526307,33283293.6191902,20888164.7899065,26055137.1667824,30810911.1380383,25612528.2649794,35839464.4050475,19676752.6300985,21062407.1617493,21764924.1448478
"sp|O00566|MPP10_HUMAN","human","dda",NA,NA,2593293.68403236,NA,2546779.84768306,3585986.52670747,2862992.16293294,2012435.98898772,3370567.57003167,NA,2357201.46209113,NA,NA,NA,3367089.02755139,3213452.17885105
"sp|O00567|NOP56_HUMAN","human","dda",26055200,20853628.00267,32833284.7993555,26329279.960211,39883216.0508526,13869806.1915206,21184520.3098646,18302591.6602271,27074987.3387509,19692866.4084682,20092732.0528995,29787004.3259048,22512255.6098188,22899583.150064,34992810.5211949,35493381.961806
"sp|O00571|DDX3X_HUMAN","human","dda",90428600,65953151.1600248,90106440.8908587,80054251.2648592,88547761.829339,90249965.785872,106315191.743763,66509033.8221358,62847822.8710742,78392837.1905269,78261717.1137105,75980745.0812977,84055450.54933,77493125.5874688,97520370.3724699,55448072.2995935
"sp|O00584|RNT2_HUMAN","human","dda",1257800,1082337.90374245,927282.852470578,NA,NA,1080179.876559,904263.191966543,520973.591100214,3185054.31388808,2588319.39234589,902515.505171839,741804.406388272,4917112.17182196,866593.807506052,993295.168357336,906847.09793
"sp|O00625|PIR_HUMAN","human","dda",11709300,7057880.62578817,13898675.0237877,8995531.10571138,4567040.09553788,8061555.45114222,8519774.81290391,5748784.26764803,7718123.54367342,10281154.750298,9329409.63321358,10548451.3113519,7589518.51423507,11945984.7430973,5448771.7069022,9424850.07432296
"sp|O00629|IMA3_HUMAN","human","dda",4151800,4731161.97484547,8493529.78069934,6368484.76698298,5392774.77667789,2800117.63822407,2578789.96712131,11601813.6947223,8566359.89322545,8836517.45479456,4051066.21296301,11925540.3686085,1115598.51360686,6526894.48315824,7883389.51831628,8536082.99597958
"sp|O00754|MA2B1_HUMAN","human","dda",NA,NA,913645.124450465,942755.70306046,711722.742864648,1367297.11909982,776890.16791028,1830360.04843506,2156321.15972206,1229926.33272818,718643.149135674,333340.518976263,NA,702923.462633366,NA,1517544.29405796
"sp|O00757|F16P2_HUMAN","human","dda",14342000,33578805.3406199,16678173.8774107,17439524.767089,28366685.1518196,27015530.2660223,18750159.1333837,28078938.1035132,11375572.7498064,18295685.7970683,18948068.6377122,15068947.020271,25087192.4753663,9559194.71131422,9414825.33617093,10357619.3747407
"sp|O00762|UBE2C_HUMAN","human","dda",3146300,3570750.07377008,1604646.95924963,2413944.85534085,2037045.26865472,2967824.58934183,2950507.81770104,3038914.53462813,2443743.68171769,7062562.17677151,6705839.08490963,NA,4973769.55746362,2310328.92366243,2557827.80772497,4320367.08128949
"sp|O00764|PDXK_HUMAN","human","dda",28895300,43381687.8046838,28963346.2744032,33529297.2342643,33411580.9071825,47461008.3217818,26133390.7856355,32412896.9791874,42855906.0080444,34737311.352551,43530966.1790932,34159796.6596423,48265654.4593021,34912224.9650304,30999068.8135158,46939866.9329086
"sp|O00767|ACOD_HUMAN","human","dda",6066800,7501195.08771358,7743277.62624222,9844673.36515503,5484537.09715611,NA,8100790.12066747,5183170.20908385,10134186.5943292,7648137.52979485,5654197.33103222,6689041.24466738,13147615.1877977,13618791.9443696,7600162.73598832,11263667.9214092
"sp|O14519|CDKA1_HUMAN","human","dda",109230,165688.916599457,78434.0570729032,83709.7188820271,745873.319018416,NA,649852.667131084,NA,641978.528520679,133417.401196287,878081.489113323,349844.11038685,817160.096531676,606500.506733186,370342.693348721,NA
"sp|O14548|COX7R_HUMAN","human","dda",NA,NA,2425272.15180188,7534508.65046788,4239883.63373665,2791143.84522567,2016774.49789885,3229077.88190402,6261136.02848075,NA,2965178.52542867,4269173.89451585,4148140.95200297,6361937.68273508,4529236.56407012,4923580.41880033
"sp|O14561|ACPM_HUMAN","human","dda",56016100,48640362.3316993,54317594.7595183,70788621.7772452,34477694.7546199,36753713.8942602,29721630.4920836,51398059.0413608,37830513.9527708,50459366.2116593,36386570.560311,77676809.3739112,41276430.7918574,40509759.0593895,57162604.1363165,53356738.2106589
"sp|O14562|UBFD1_HUMAN","human","dda",NA,4954511.24573919,NA,NA,6442166.70489739,NA,6004888.04992717,4191664.2330574,NA,NA,5385167.74655519,6527019.68515706,4535957.84885862,5575228.6150566,NA,5053703.32307329
"sp|O14579|COPE_HUMAN","human","dda",7029500,12269254.4494418,9602141.28183214,8229389.47912085,10638926.7175263,8690897.8519157,11888009.1105524,8178200.89434062,9344599.24468993,3526864.73795792,4727705.41550331,4757499.33899347,7043758.82434271,9408866.15545689,5095934.20558085,3072170.03259087
"sp|O14617|AP3D1_HUMAN","human","dda",3463000,5387127.64874594,5325326.15961132,4309341.20246069,5551475.25529343,3673812.00900335,2025721.78528728,3797634.34416169,3910615.62148878,4950783.35244188,5875444.36668403,2767836.90877428,2963570.00422763,5952969.31338409,4987466.45130082,1796637.95994192
"sp|O14662|STX16_HUMAN","human","dda",4469700,4513161.73341108,7503111.92240751,4799479.31018601,1638243.27070237,2282726.98288972,3131270.98322047,NA,2381913.00007367,5303000.92977249,3759177.62739987,6225245.11071098,6216701.79568922,3171735.41040046,5328490.6328491,3176749.53433346
"sp|O14735|CDIPT_HUMAN","human","dda",3320100,4473098.59439936,13503121.8734208,7630070.90668067,8027152.24043017,NA,NA,NA,NA,4247765.79174514,6191830.82026402,NA,3848376.14196301,NA,NA,NA
"sp|O14737|PDCD5_HUMAN","human","dda",8794200,10584091.8420193,8977049.22868515,10259324.3343732,9564155.33304475,10657570.7876288,14051575.0421677,3907680.24229791,4822475.0000601,13835935.1847873,13857577.6789011,9520556.39427247,5697776.05577661,16691553.2745162,16314487.4988386,13985192.047521
"sp|O14744|ANM5_HUMAN","human","dda",19355100,12388592.3883181,14923452.8721562,12807220.7061008,9118380.51748548,6017884.42927562,14060662.1309216,16512635.0179374,16970878.2423878,20330369.3188677,17022761.8218401,16938129.4652496,14378099.7382,14534665.2991719,11870433.7570991,11862478.9891453
"sp|O14745|NHRF1_HUMAN","human","dda",83468000,91635435.3867266,93736048.4061822,82663699.5910492,89637564.0106421,82892691.262608,72199156.9713975,69404829.841113,98654405.4409604,100790941.779704,91509221.2566418,71396213.1769396,69082830.8752479,87608556.7047382,74400580.8230352,77636689.3156715
"sp|O14773|TPP1_HUMAN","human","dda",3021600,3536035.96421769,2163262.46802153,1936133.57427689,2137755.39345408,2632557.79846694,2167200.76711687,3258670.05619275,3043066.46382803,2530732.36368078,2063908.13344449,3060229.30454174,2403219.9917227,1576011.79574098,2530100.67701792,2023610.7992599
"sp|O14776|TCRG1_HUMAN","human","dda",6009500,2562403.43875283,NA,6025000.67702304,336596.458461619,NA,5091705.53084528,4107158.39898059,NA,4328459.60203141,1399847.76669737,NA,5761442.91808599,5631044.18652053,4108389.48792296,NA
"sp|O14818|PSA7_HUMAN","human","dda",87247200,81964379.2078686,88231967.6452752,86376657.1797986,65667797.0894111,51323755.4512418,77752766.2136706,66433086.1793732,69761436.9777888,73075987.4581783,73298536.3178384,68454203.0916918,93463361.9910713,89381686.6896641,70104925.8090235,96096123.1298654
"sp|O14828|SCAM3_HUMAN","human","dda",8094700,8562486.19799156,7121491.6889789,2469122.07944406,6434468.31189894,9061030.03525981,7078282.93380817,4940043.59532528,8813258.39557068,9952054.85915746,7939991.01971192,3266524.19717407,5911835.47424627,8573811.25822042,6195353.99041198,2649244.99911204
"sp|O14907|TX1B3_HUMAN","human","dda",NA,NA,3740752.04679821,3688303.93542669,2562555.24317168,4066305.11916316,5022364.05358493,3294147.03786845,5947305.54811573,2759183.08334259,4686946.5820956,4351503.45440656,NA,2732265.59493348,NA,NA
