	1x	2x
EA100915_05_1x_dia	1	0
EA100915_06_2x_dia	0	1
EA100915_09_1x_dia	1	0
EA100915_10_2x_dia	0	1
EA100915_13_1x_dia	1	0
EA100915_14_2x_dia	0	1
EA100915_18_2x_dia	0	1
EA100915_21_1x_dia	1	0
EA100915_25_1x_dia	1	0
EA100915_26_2x_dia	0	1
EA100915_29_1x_dia	1	0
EA100915_30_2x_dia	0	1
EA100915_33_1x_dia	1	0
EA100915_34_2x_dia	0	1
EA100915_38_2x_dia	0	1
EA100915_41_1x_dia	1	0
